Time (Minutes),NK-92 VL,,NK-92 VH,,NK-92 VR,,Target Only,,Lysis Control,
0,-0.32254,,-0.174345,,0,,0.011744,,0,
15,-0.11899,,-0.071104,,-0.14162,,0.017736,,-0.05090252,
30,-0.02177,,-0.027386,,0.125618,,-0.016388,,-0.02,
45,0.038656,,0.055439,,0.089982,,-0.002206,,0.0001,
60,0.163874,,0.135538,,0.188859,,0.022773,,-2.29441492,
75,0.164378,,0.18633,,0.253075,,0.049363,,-2.45848068,
90,0.179796,,0.171553,,0.238741,,0.060281,,-2.518754,
105,0.139535,,0.126989,,0.184122,,0.062775,,-2.56192276,
120,0.154087,,0.087238,,0.047186,,0.104584,,-2.635186,
135,0.115839,,0.113449,,-0.06892,,0.119645,,-2.66391172,
150,0.028423,,-0.048322,,-0.13644,,0.131035,,-2.69267012,
165,-0.00326,,-0.115721,,-0.20012312,,0.167395,,-2.7371058,
180,-0.08254,,-0.19191,,-0.31231231,,0.181914,,-2.76030936,
195,-0.15374,,-0.325608,,-0.361231,,0.198362,,-2.78131044,
210,-0.2057,,-0.425932,,-0.3831231,,0.210642,,-2.81419868,
225,-0.27993,,-0.545247,,-0.5123123,,0.210536,,-2.82821688,
240,-0.42508,0.0514,-0.689347,0.1567,-0.6521312,0.1364,0.22911,,-2.84837664,
255,-0.50136,,-0.797191,,-0.77241231,,0.259452,,-2.87850228,
270,-0.57527,,-0.88716,,-0.8412231,,0.269187,,-2.88953444,
285,-0.70461,,-1.108942,,-1.07688,,0.275835,,-2.90106516,
300,-0.78195,,-1.195065,,-1.15373,,0.285927,,-2.92399968,
315,-0.8418,,-1.272221,,-1.234,,0.295879,,-2.93544756,
330,-0.99513,,-1.455315,,-1.3832132,,0.313159,,-2.94648884,
345,-1.06631,,-1.5267,,-1.473213,,0.347166,,-2.96534292,
360,-1.12856,0.0753,-1.611691,0.1893,-1.57234,0.1413,0.364118,,-2.97643968,
375,-1.25644,,-1.74493,,-1.732123,,0.375594,,-2.98344536,
390,-1.32227,,-1.796706,,-1.83213123,,0.40994,,-2.99889692,
405,-1.39777,,-1.855198,,-1.92941,,0.423282,,-3.0083042,
420,-1.52384,,-1.979687,,-2.05887,,0.434337,,-3.01829364,
435,-1.59735,,-2.036134,,-2.11758,,0.463383,,-3.03226928,
450,-1.62825,,-2.087638,,-2.17114,,0.47447,,-3.03694784,
465,-1.72194,,-2.190703,,-2.27833,,0.481311,,-3.042831,
480,-1.76144,0.0915,-2.233226,0.204,-2.32256,0.1827,0.525305,,-3.05476832,
495,-1.83392,,-2.275229,,-2.36624,,0.540613,,-3.06058156,
510,-1.90991,,-2.345177,,-2.43898,,0.557868,,-3.065954,
525,-1.92922,,-2.371859,,-2.46673,,0.588566,,-3.07530504,
540,-1.96222,,-2.392487,,-2.48819,,0.613283,,-3.07975408,
555,-2.02958,,-2.445277,,-2.54309,,0.630538,,-3.08538872,
570,-2.06208,,-2.455377,,-2.55359,,0.668221,,-3.09344244,
585,-2.10295,,-2.477223,,-2.57631,,0.69172,,-3.09916144,
600,-2.13971,0.1248,-2.514399,0.2391,-2.61497,0.2066,0.720026,,-3.10020264,
615,-2.17453,,-2.525285,,-2.6263,,0.769029,,-3.10734284,
630,-2.23725,,-2.581277,,-2.68453,,0.80169,,-3.11249564,
645,-2.2578,,-2.600827,,-2.70486,,0.839472,,-3.11536388,
660,-2.28613,,-2.600368,,-2.70438,,0.904949,,-3.12214384,
675,-2.32838,,-2.622919,,-2.72784,,0.929852,,-3.12579108,
690,-2.33474,,-2.626628,,-2.73169,,0.951104,,-3.12974308,
705,-2.35339,,-2.629847,,-2.73504,,1.020691,,-3.13303464,
720,-2.37829,0.1588,-2.644129,0.2612,-2.74989,0.2379,1.058635,,-3.13642272,
735,-2.3944,,-2.656826,,-2.7631,,1.093287,,-3.13980928,
750,-2.40169,,-2.659471,,-2.76585,,1.16088,,-3.14420968,
765,-2.41763,,-2.675339,,-2.78235,,1.198107,,-3.14797776,
780,-2.43004,,-2.692439,,-2.80014,,1.234377,,-3.15202932,
795,-2.44591,,-2.707217,,-2.81551,,1.309877,,-3.1550488,
810,-2.4658,,-2.725727,,-2.83476,,1.345486,,-3.1574124,
825,-2.47078,,-2.727855,,-2.83697,,1.394628,,-3.16191464,
840,-2.47921,0.1712,-2.747159,0.2651,-2.85705,0.2241,1.474677,,-3.1641802,
855,-2.48607,,-2.748507,,-2.86492,,1.508229,,-3.16404036,
870,-2.48679,,-2.754728,,-2.87495,,1.536421,,-3.16833208,
885,-2.50093,,-2.764374,,-2.91014,,1.6132,,-3.1709214,
900,-2.50594,,-2.798209,,-2.84987,,1.645587,,-3.1728822,
915,-2.51129,,-2.807941,,-2.89259,,1.671036,,-3.17764512,
930,-2.5237,,-2.814837,,-2.91286,,1.778407,,-3.17928064,
945,-2.54665,,-2.832195,,-2.97264,,1.805133,,-3.17891356,
960,-2.55339,0.1672,-2.83401,0.2409,-3.00133,0.20421,1.836557,,-3.18371676,
975,-2.56961,,-2.845672,,-3.02304,,1.917088,,-3.18419556,
990,-2.58329,,-2.845798,,-3.07294,,1.951977,,-3.18489324,
1005,-2.58329,,-2.845798,,-3.0612313,,1.962247,,-3.18,
