Minutes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,0,65.06,0,27.981,0,0,0,0,0,0,0,0,43.945,0,72.613,0,0,0,50.125,0,0,0,0,0,0,0,0,43.774,0,0,0,0,12.016,23.861,0,0,39.139,0,0,0,82.569,11.673,31.071,61.283,65.231,5.836,87.547,0,0,0,64.716,61.798
1,0.343,162.735,16.308,107.46,0,0,0,11.673,0,0,0,33.302,75.359,0,77.076,7.038,39.825,66.948,100.765,0,82.054,0,81.196,0,0,0,0,78.278,50.468,0,0,0,44.632,35.534,0,0,55.618,0,0,0,122.395,83.427,79.994,78.793,87.204,68.321,96.474,0,0,0,139.732,101.452
2,0,173.893,79.994,134.926,9.956,0,0,14.591,0,0,0,63.858,107.288,0,96.645,6.866,33.131,97.504,102.482,0,111.237,0,83.256,0,0,0,104.37,141.964,126.343,33.817,0,0,72.441,34.161,4.12,0,83.942,0,36.907,0,139.561,134.411,98.877,117.588,64.888,75.016,92.011,29.354,0.343,0,101.967,94.07
3,0,202.217,71.239,132.351,70.896,0,0,20.599,0,49.267,0,54.76,95.615,0,107.46,12.531,70.896,83.427,126.171,0,120.678,0,124.455,0,41.714,0,149.517,137.672,142.822,87.376,0,0,80.509,17.853,56.305,0,98.705,0,72.956,0,158.1,135.613,71.583,125.828,74.501,68.15,101.452,60.253,63.858,0.343,97.675,114.326
4,0,175.438,71.583,116.901,89.607,30.556,0,12.875,0,56.477,0,63.686,146.084,0,113.468,5.665,92.869,96.13,96.989,0,136.642,0,122.91,58.537,48.409,83.942,174.751,138.187,128.918,77.076,0,0,76.733,35.534,47.035,0,105.572,3.262,141.449,0,158.443,89.092,90.637,135.269,111.065,91.496,87.891,64.545,133.038,0,103.855,100.594
5,0,153.98,95.444,100.594,103.512,37.937,0,22.831,0,66.948,0.172,56.648,115.356,0,108.833,2.06,68.836,101.624,113.125,0,123.081,0,105.915,82.569,42.229,86.517,169.601,112.095,132.008,76.561,0,0,88.749,37.937,62.485,0,123.94,66.776,105.572,0,154.495,90.294,86.689,130.978,94.929,95.272,103.34,73.814,157.414,0,74.501,110.722
6,0,176.468,109.177,107.975,147.285,44.117,0,21.973,0,72.956,1.888,66.776,98.362,41.37,109.348,9.098,104.885,105.915,78.449,20.771,135.956,0,91.152,107.975,55.447,100.937,165.825,106.258,173.035,84.629,0,0,67.978,35.877,42.915,0,109.348,79.823,133.381,0,142.994,98.705,75.359,130.291,62.485,82.912,88.406,73.986,144.024,0,121.88,106.945
7,0,139.217,79.651,102.825,144.196,37.937,0,27.466,2.232,70.381,60.253,85.316,99.392,58.88,114.326,3.262,87.719,109.348,125.828,50.125,129.089,0,91.667,95.272,62.485,110.035,151.577,100.25,130.634,87.032,0.172,0,82.912,63.858,55.962,0,106.258,80.509,154.152,3.948,124.111,101.452,85.316,123.081,77.591,74.673,70.724,83.771,119.133,0,95.272,82.226
8,0,152.092,66.776,85.144,160.503,39.825,0,39.139,87.891,74.329,73.643,90.809,92.011,61.97,111.237,0,81.711,99.564,66.261,65.06,109.863,0,62.828,95.1,64.545,112.61,131.149,90.809,148.83,108.147,0,0,90.981,42.4,33.131,0,104.542,70.21,136.471,37.422,119.82,78.278,81.539,98.877,80.166,61.97,76.561,69.008,136.986,0,89.779,85.316
9,0,154.839,74.844,66.09,191.917,38.795,0,45.662,94.07,83.084,87.204,108.318,98.19,65.575,92.697,0,79.308,83.942,113.125,77.248,136.814,0,80.338,138.016,58.537,143.681,138.531,78.964,123.596,111.58,0,0,87.376,50.297,27.294,43.774,119.991,65.746,157.242,36.392,136.471,73.986,94.414,115.356,65.918,61.97,64.545,59.567,140.419,0,108.147,96.13
10,0,118.446,64.888,60.768,157.757,33.131,42.572,14.763,108.49,80.853,103.855,48.409,84.629,65.575,119.82,1.373,74.329,80.853,116.386,69.695,123.253,0,88.062,104.027,59.223,106.258,125.313,93.555,108.833,115.013,0,0,72.956,49.267,33.474,62.141,113.812,82.569,133.553,40.169,117.245,49.095,71.583,111.923,71.926,58.022,80.509,52.357,103.169,0,105.915,91.496
11,0,114.841,58.88,90.809,157.242,51.498,80.853,35.706,87.032,64.373,112.438,94.07,84.457,63.171,147.285,0,74.501,64.373,150.719,76.904,99.564,0,75.016,122.91,41.199,98.362,130.634,89.951,94.929,129.433,0,0,83.771,40.684,52.872,59.567,110.55,90.122,77.076,39.825,141.106,50.64,81.882,98.19,66.09,64.201,73.299,42.572,135.956,0,77.076,99.392
12,0,137.672,77.763,71.411,123.768,31.929,78.793,19.054,86.346,60.081,120.85,84.114,92.011,70.038,133.896,0,89.779,57.335,127.716,84.972,92.697,0,64.03,123.596,31.929,101.967,123.425,86.861,96.645,130.463,0,0,76.389,45.319,62.313,76.561,62.485,93.899,123.94,38.624,93.899,29.354,72.441,133.553,59.052,34.332,67.291,46.52,103.169,0,77.248,115.871
13,0,133.896,79.308,50.468,120.506,21.286,85.487,32.444,105.4,60.081,123.081,65.746,86.174,61.97,140.076,0,85.487,66.09,106.945,77.591,93.899,0,64.545,96.474,30.727,98.705,137.329,75.874,122.395,123.081,0,0,78.964,47.379,64.373,70.381,58.708,87.376,106.945,39.139,103.512,39.654,68.665,129.948,65.231,39.654,77.419,41.199,106.773,0,82.741,88.749
14,0,122.223,53.043,50.297,110.035,34.676,101.624,33.817,83.599,65.403,115.013,80.338,85.831,62.828,142.307,1.202,78.793,66.433,114.67,66.776,70.381,34.161,64.201,91.667,15.45,96.13,132.694,86.517,109.348,117.416,0,0,75.188,59.052,85.831,67.12,66.776,78.964,84.114,33.817,108.49,30.899,50.64,118.618,47.55,35.706,73.643,27.466,89.779,0,79.823,95.615
15,0,118.618,71.583,46.177,112.438,21.801,109.863,52.7,90.981,53.902,152.779,80.509,67.978,65.746,133.381,0,71.411,72.613,126.686,73.814,92.869,72.098,75.188,92.354,16.479,75.531,120.163,92.525,104.885,101.967,0,0,68.836,36.907,52.185,32.616,73.986,76.733,99.564,32.444,92.354,17.853,47.379,133.896,73.128,29.354,79.651,24.719,96.817,0,59.223,73.643
16,0,124.626,57.85,24.204,134.754,22.316,115.013,39.997,66.261,62.313,126.343,92.354,62.141,61.455,105.228,0,72.956,72.784,130.978,67.635,81.368,98.19,75.703,100.594,15.793,100.765,122.051,86.689,88.749,94.585,0,0,69.695,39.654,56.648,28.839,70.896,102.482,95.615,17.166,89.779,18.024,33.646,131.493,73.643,47.379,68.665,13.733,93.727,0,72.269,97.504
17,0,133.381,38.795,28.152,107.46,10.128,118.446,29.182,50.468,69.866,127.716,85.831,73.986,63.858,76.389,0,62.828,65.575,111.408,65.746,73.643,90.466,74.844,93.899,16.823,99.22,130.978,67.635,104.885,81.711,0,0,67.978,31.242,50.983,25.578,40.512,94.242,110.893,19.054,85.487,20.256,58.365,132.179,59.395,83.084,68.493,9.613,70.553,28.324,73.814,84.801
18,0,99.907,36.221,30.041,99.22,12.531,110.378,20.599,48.237,86.517,121.536,87.719,59.395,57.678,78.964,1.202,41.37,65.403,82.569,69.523,53.215,98.019,62.656,87.547,14.248,92.182,106.43,69.866,87.376,70.896,0,0,78.964,21.973,37.422,32.272,25.921,90.294,87.719,21.801,96.13,36.736,34.847,101.624,77.419,106.43,51.155,9.098,50.468,41.37,58.88,70.381
19,1.202,92.182,50.983,37.079,107.803,22.831,108.318,13.218,55.103,60.768,126.858,62.828,70.21,56.477,105.743,0.515,32.272,50.125,118.79,64.201,51.498,99.22,28.496,94.07,20.256,93.212,99.22,65.06,100.937,68.836,0,0,68.15,16.479,50.64,42.572,33.302,89.951,96.13,12.875,79.823,62.828,23.861,85.487,74.158,89.607,64.888,10.128,71.068,40.855,74.501,72.098
20,0,76.218,42.915,29.011,109.52,23.003,93.04,16.308,57.85,56.648,121.193,95.615,56.305,44.117,96.817,0.172,20.943,54.76,94.929,67.978,62.313,83.256,54.417,79.479,19.398,67.635,114.841,44.289,62.485,92.869,0,0,73.643,12.016,49.61,44.975,23.861,88.921,63.515,8.068,90.637,65.403,38.28,103.683,81.711,80.338,20.256,6.866,64.888,42.744,51.155,77.248
21,0,64.201,45.49,54.76,98.877,22.144,93.04,21.629,67.12,63,108.662,79.136,61.798,35.877,107.288,2.575,13.39,54.932,103.512,70.038,80.338,100.079,79.136,86.861,27.123,76.904,104.37,51.842,66.948,93.04,0,0,67.635,9.956,50.812,36.221,20.943,86.346,33.474,5.665,79.823,49.438,43.43,110.722,68.493,81.024,36.392,5.665,86.346,32.787,32.787,77.248
22,0,82.569,40.34,57.335,106.087,27.466,88.406,16.651,84.801,72.098,83.084,65.918,69.008,38.452,108.318,1.545,10.128,63.515,47.207,85.144,79.308,83.599,41.542,86.861,26.436,94.242,107.46,63.515,59.395,88.234,0,23.518,59.395,20.599,33.989,44.632,30.384,84.457,62.656,4.292,66.948,43.945,55.447,90.981,43.43,80.509,37.251,5.493,71.068,23.174,23.174,41.542
23,1.202,74.158,41.37,53.558,74.329,36.049,96.474,49.267,47.894,75.703,72.956,88.921,47.379,33.989,115.871,1.373,8.068,56.82,119.648,85.487,65.746,68.665,44.804,84.286,16.651,88.234,105.4,73.299,66.776,78.621,0,59.738,64.545,24.376,23.174,56.648,38.624,89.436,78.793,9.956,75.874,31.586,40.34,86.861,63.343,75.531,52.185,5.322,87.891,17.681,35.534,66.09
24,0,85.316,54.245,51.498,104.885,25.578,93.555,32.272,65.746,67.806,87.547,82.226,32.959,39.997,107.46,1.373,6.695,65.575,102.825,91.152,47.894,77.076,40.169,64.545,31.414,71.926,112.095,67.463,83.942,66.261,24.548,73.471,64.716,20.084,18.196,53.558,31.071,82.226,55.618,4.12,71.411,26.093,17.853,69.523,53.215,76.733,42.572,4.978,94.929,11.501,30.556,67.463
25,1.03,69.523,37.766,41.714,80.338,18.711,77.248,33.817,76.218,71.926,66.776,71.239,35.362,43.774,104.027,0,6.523,56.477,93.04,76.389,48.237,99.735,39.482,71.411,14.763,96.13,113.125,59.052,64.888,82.569,104.37,81.882,55.79,23.174,15.278,41.37,25.921,65.918,21.114,2.918,81.024,39.31,18.024,80.166,48.065,76.389,43.774,4.807,66.433,7.896,33.989,46.177
26,0,69.18,23.346,33.817,97.847,14.763,73.643,7.896,75.531,72.098,54.245,63.686,33.131,44.804,104.713,1.717,10.643,54.073,134.068,108.147,77.934,101.967,50.297,82.054,7.896,78.621,119.991,44.975,92.525,82.569,137.329,100.765,48.237,22.831,10.471,32.787,16.994,79.823,88.921,3.777,72.784,48.752,21.629,77.248,76.389,73.128,43.43,3.948,67.291,5.493,39.654,43.087
27,0,89.092,51.67,38.624,84.457,15.793,112.953,38.795,56.992,71.068,37.766,65.575,32.959,45.147,95.444,1.888,24.719,59.395,90.809,96.817,68.321,60.596,51.842,82.912,7.038,39.825,119.133,59.738,65.231,69.008,168.571,90.637,63.858,18.368,9.441,32.101,17.681,71.926,92.525,3.948,80.853,36.392,32.444,69.523,67.463,62.485,42.572,3.777,65.06,4.807,52.528,60.081
28,0,86.517,42.744,47.722,74.501,14.763,56.648,45.319,56.992,64.03,35.191,60.253,49.782,38.109,95.1,1.03,35.534,57.507,67.635,88.749,45.147,54.588,55.447,79.651,6.866,83.771,111.237,44.975,75.703,57.507,153.809,84.629,57.85,12.703,7.725,56.648,9.098,72.269,77.419,4.635,72.956,39.139,24.204,55.962,55.275,53.215,26.608,4.292,66.261,4.12,42.744,47.55
29,0,74.844,38.795,36.736,70.038,9.27,72.956,32.787,51.842,61.111,29.011,61.626,43.087,41.37,80.338,0,58.88,51.67,58.708,86.689,43.774,61.798,44.117,73.471,6.008,55.275,104.37,43.43,70.724,71.068,186.768,88.921,49.61,12.016,7.553,57.85,11.33,64.888,51.498,4.292,64.373,45.834,31.242,60.768,65.918,66.605,18.368,4.292,68.321,3.433,52.185,40.169
30,0,73.814,42.915,37.937,50.468,9.613,71.926,32.272,25.749,76.904,35.019,61.798,46.349,36.564,61.111,2.403,51.498,38.967,21.973,79.651,38.28,56.648,65.575,74.158,7.553,61.283,78.106,53.043,69.523,67.978,131.321,55.79,58.365,16.823,8.755,63.343,19.913,115.871,37.594,3.262,61.455,30.899,37.594,62.656,85.487,78.278,9.956,3.777,45.319,2.918,53.558,59.395
